Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel Type,Maximum speed,Weight-to-power ratio,Electric cars and hybrids specs,Gross battery capacity,All-electric range,Average Energy consumption,Electric motor 1,Electric motor power,System power,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Max. weight,Max load,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,Minimum turning circle (turning diameter),"Drivetrain, brakes and suspension specs",Drive wheel,Number of Gears (automatic transmission),Front brakes,Rear brakes,Assisting systems,Tires size,Wheel rims size,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,CO2 emissions,Weight-to-torque ratio,Engine specs,Power,Torque,Number of cylinders,Position of cylinders,Engine aspiration,Drivetrain Architecture,Front suspension,Rear suspension,Fuel System,Maximum engine speed,Engine location,Cylinder Bore,Piston Stroke,Compression ratio,Engine systems,Steering type,Number of Gears (manual transmission),End of production,Power per litre,Engine displacement,Number of valves per cylinder,Valvetrain,Trunk (boot) space - minimum,Fuel tank capacity,Power steering,Fuel consumption (economy) - combined,Trunk (boot) space - maximum,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Ride height (ground clearance)
e.GO,Life,Life,Life 60 23.9 kWh (82 Hp) Electric,2018 year,BEV (Electric Vehicle),Hatchback,4,3,Performance specs,Electricity,152 km/h  94.45 mph,"11.6 kg/Hp, 86.3 Hp/tonne",Electric cars and hybrids specs,23.9 kWh,158 km  98.18 mi,12.5 kWh/100 km  20.12 kWh/100 mi168 MPGe8 km/kWh5 mi/kWh,Electric motor 1,82 Hp,82 Hp,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",950 kg  2094.39 lbs.,1300 kg  2866.01 lbs.,350 kg  771.62 lbs.,Dimensions,3348 mm  131.81 in.,1700 mm  66.93 in.,1567 mm  61.69 in.,2200 mm  86.61 in.,1475 mm  58.07 in.,1483 mm  58.39 in.,9.0 m  29.53 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,1,Ventilated discs,Drum,ABS (Anti-lock braking system),205/45 R17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e.GO,Life,Life,Life 40 17.9 kWh (54 Hp) Electric,2018 year,BEV (Electric Vehicle),Hatchback,4,3,Performance specs,Electricity,130 km/h  80.78 mph,"16.7 kg/Hp, 60 Hp/tonne",Electric cars and hybrids specs,17.9 kWh,124 km  77.05 mi,12.1 kWh/100 km  19.47 kWh/100 mi173 MPGe8.3 km/kWh5.1 mi/kWh,Electric motor 1,54 Hp,54 Hp,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",900 kg  1984.16 lbs.,1300 kg  2866.01 lbs.,400 kg  881.85 lbs.,Dimensions,3348 mm  131.81 in.,1700 mm  66.93 in.,1567 mm  61.69 in.,2200 mm  86.61 in.,1475 mm  58.07 in.,1483 mm  58.39 in.,9.0 m  29.53 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,1,Ventilated discs,Drum,ABS (Anti-lock braking system),205/45 R17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e.GO,Life,Life,Life 20 14.9 kWh (27 Hp) Electric,2018 year,BEV (Electric Vehicle),Hatchback,4,3,Performance specs,Electricity,116 km/h  72.08 mph,"32.6 kg/Hp, 30.7 Hp/tonne",Electric cars and hybrids specs,14.9 kWh,104 km  64.62 mi,11.9 kWh/100 km  19.15 kWh/100 mi176 MPGe8.4 km/kWh5.2 mi/kWh,Electric motor 1,27 Hp,27 Hp,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",880 kg  1940.07 lbs.,1300 kg  2866.01 lbs.,420 kg  925.94 lbs.,Dimensions,3348 mm  131.81 in.,1700 mm  66.93 in.,1567 mm  61.69 in.,2200 mm  86.61 in.,1475 mm  58.07 in.,1483 mm  58.39 in.,9.0 m  29.53 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,1,Ventilated discs,Drum,ABS (Anti-lock braking system),205/45 R17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eadon Green,Black Cuillin,Black Cuillin,6.0 V12 (445 Hp) Automatic,2017 year,Internal Combustion engine,Coupe,2,2,Performance specs,Petrol (Gasoline),248 km/h  154.1 mph,"5.6 kg/Hp, 180.2 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2470 kg  5445.42 lbs.,,,Dimensions,5368 mm  211.34 in.,2012 mm  79.21 in.,1566 mm  61.65 in.,3320 mm  130.71 in.,1705 mm  67.13 in.,1705 mm  67.13 in.,,"Drivetrain, brakes and suspension specs",Rear wheel drive,6,,,,,,20.5 l/100 km  11.47 US mpg13.78 UK mpg4.88 km/l,9.7 l/100 km  24.25 US mpg29.12 UK mpg10.31 km/l,330 g/km,"4.1 kg/Nm, 242.9 Nm/tonne",Engine specs,445 Hp @ 6000 rpm.,600 Nm @ 3950 rpm.  442.54 lb.-ft. @ 3950 rpm.,12,V-engine,Naturally aspirated engine,The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Double wishbone,"Independent, spring",,,,,,,,,,,,,,,,,,,,,,,
Eadon Green,Zanturi,Zanturi,6.6 V12 (601 Hp) Automatic,2019 year,Internal Combustion engine,Coupe,4,2,Performance specs,Petrol (Gasoline),248 km/h  154.1 mph,"4.3 kg/Hp, 234.8 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2560 kg  5643.83 lbs.,,,Dimensions,5575 mm  219.49 in.,2023 mm  79.65 in.,1492 mm  58.74 in.,3112 mm  122.52 in.,1672 mm  65.83 in.,1708 mm  67.24 in.,,"Drivetrain, brakes and suspension specs",Rear wheel drive,8,,,,,,23 l/100 km  10.23 US mpg12.28 UK mpg4.35 km/l,10.1 l/100 km  23.29 US mpg27.97 UK mpg9.9 km/l,337 g/km,"3 kg/Nm, 328.1 Nm/tonne",Engine specs,601 Hp @ 6000 rpm.,840 Nm @ 1650 rpm.  619.55 lb.-ft. @ 1650 rpm.,12,V-engine,"Twin-Turbo, Intercooler",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Double wishbone,Multi-link independent,Direct injection,,,,,,,,,,,,,,,,,,,,,,
Eadon Green,Zeclat,Zeclat,6.2 V8 (460 Hp) COD Automatic,2017 year,Internal Combustion engine,Coupe,2,2,Performance specs,Petrol (Gasoline),,"3.4 kg/Hp, 295.8 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1555 kg  3428.19 lbs.,,,Dimensions,4519 mm  177.91 in.,1966 mm  77.4 in.,1234 mm  48.58 in.,2710 mm  106.69 in.,1613 mm  63.5 in.,1588 mm  62.52 in.,11.5 m  37.73 ft.,"Drivetrain, brakes and suspension specs",,8,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),285/30 R19; 335/25 R20,19; 20,,,,"2.5 kg/Nm, 405.1 Nm/tonne",Engine specs,460 Hp @ 6000 rpm.,630 Nm @ 4600 rpm.  464.66 lb.-ft. @ 4600 rpm.,8,V-engine,Naturally aspirated engine,,Double wishbone,Double wishbone,Direct injection,6600 rpm.,"Front, Longitudinal",103.25 mm  4.06 in.,92 mm  3.62 in.,11.5,Cylinder deactivation system,Steering rack and pinion,,,,,,,,,,,,,,,
Eadon Green,Zeclat,Zeclat,6.2 V8 (460 Hp) COD,2017 year,Internal Combustion engine,Coupe,2,2,Performance specs,Petrol (Gasoline),,"3.4 kg/Hp, 295.8 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1555 kg  3428.19 lbs.,,,Dimensions,4519 mm  177.91 in.,1966 mm  77.4 in.,1234 mm  48.58 in.,2710 mm  106.69 in.,1613 mm  63.5 in.,1588 mm  62.52 in.,11.5 m  37.73 ft.,"Drivetrain, brakes and suspension specs",,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),285/30 R19; 335/25 R20,19; 20,,,,"2.5 kg/Nm, 405.1 Nm/tonne",Engine specs,460 Hp @ 6000 rpm.,630 Nm @ 4600 rpm.  464.66 lb.-ft. @ 4600 rpm.,8,V-engine,Naturally aspirated engine,,Double wishbone,Double wishbone,Direct injection,6600 rpm.,"Front, Longitudinal",103.25 mm  4.06 in.,92 mm  3.62 in.,11.5,Cylinder deactivation system,Steering rack and pinion,7,,,,,,,,,,,,,,
Eagle,Premier,Premier,3.0 i V6 (152 Hp),1987 year,Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),195 km/h  121.17 mph,"9.2 kg/Hp, 108.6 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1400 kg  3086.47 lbs.,,,Dimensions,4900 mm  192.91 in.,1780 mm  70.08 in.,1390 mm  54.72 in.,2695 mm  106.1 in.,1480 mm  58.27 in.,1450 mm  57.09 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,4,Disc,Disc,ABS (Anti-lock braking system),205/70 R14,,15 l/100 km  15.68 US mpg18.83 UK mpg6.67 km/l,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,,"6 kg/Nm, 165.7 Nm/tonne",Engine specs,152 Hp @ 5000 rpm.,232 Nm @ 3600 rpm.  171.11 lb.-ft. @ 3600 rpm.,6,V-engine,Naturally aspirated engine,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Coil spring,Torsion,Multi-point indirect injection,,"Front, Longitudinal",93 mm  3.66 in.,73 mm  2.87 in.,9.3,,Steering rack and pinion,,1993 year,51.1 Hp/l,2975 cm3 181.55 cu. in.,2,OHC,480 l  16.95 cu. ft.,64 l  16.91 US gal | 14.08 UK gal,Hydraulic Steering,,,,,,
Eagle,Summit,Summit,1.8i 16V (116 Hp) Automatic,1993 year,Internal Combustion engine,Sedan,5,2,Performance specs,Petrol (Gasoline),,"8.2 kg/Hp, 122.6 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",946 kg  2085.57 lbs.,,,Dimensions,4345 mm  171.06 in.,1690 mm  66.54 in.,1310 mm  51.57 in.,2440 mm  96.06 in.,1450 mm  57.09 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,4,Ventilated discs,Drum,ABS (Anti-lock braking system),155/80 R13 S,13,,,,"6 kg/Nm, 167 Nm/tonne",Engine specs,116 Hp @ 6000 rpm.,158 Nm @ 4500 rpm.  116.53 lb.-ft. @ 4500 rpm.,4,Inline,Naturally aspirated engine,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",81 mm  3.19 in.,89 mm  3.5 in.,9.5,,,,1996 year,63.2 Hp/l,1834 cm3 111.92 cu. in.,4,DOHC,,50 l  13.21 US gal | 11 UK gal,Hydraulic Steering,7.9 l/100 km  29.77 US mpg35.76 UK mpg12.66 km/l,,,,,
Eagle,Summit,Summit,1.8i 16V (116 Hp),1993 year,Internal Combustion engine,Sedan,5,2,Performance specs,Petrol (Gasoline),,"8.2 kg/Hp, 122.6 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",946 kg  2085.57 lbs.,,,Dimensions,4345 mm  171.06 in.,1690 mm  66.54 in.,1310 mm  51.57 in.,2440 mm  96.06 in.,1450 mm  57.09 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Ventilated discs,Drum,ABS (Anti-lock braking system),155/80 R13 S,,,,,"6 kg/Nm, 167 Nm/tonne",Engine specs,116 Hp @ 6000 rpm.,158 Nm @ 4500 rpm.  116.53 lb.-ft. @ 4500 rpm.,4,Inline,Naturally aspirated engine,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",81 mm  3.19 in.,89 mm  3.5 in.,9.5,,,5,1996 year,63.2 Hp/l,1834 cm3 111.92 cu. in.,4,DOHC,,50 l  13.21 US gal | 11 UK gal,Hydraulic Steering,7.9 l/100 km  29.77 US mpg35.76 UK mpg12.66 km/l,,,,,
Eagle,Summit,Summit,1.5 i 12V (92 Hp),1993 year,Internal Combustion engine,Sedan,5,2,Performance specs,Petrol (Gasoline),,"10.3 kg/Hp, 97.3 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",946 kg  2085.57 lbs.,,,Dimensions,4345 mm  171.06 in.,1690 mm  66.54 in.,1310 mm  51.57 in.,2440 mm  96.06 in.,1450 mm  57.09 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Ventilated discs,Drum,ABS (Anti-lock braking system),145/80 R13 S,,,,,"7.5 kg/Nm, 133.2 Nm/tonne",Engine specs,92 Hp @ 6000 rpm.,126 Nm @ 3000 rpm.  92.93 lb.-ft. @ 3000 rpm.,4,Inline,Naturally aspirated engine,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",75.5 mm  2.97 in.,82 mm  3.23 in.,9.2,,,5,1996 year,62.7 Hp/l,1468 cm3 89.58 cu. in.,3,OHC,,50 l  13.21 US gal | 11 UK gal,Hydraulic Steering,6.7 l/100 km  35.11 US mpg42.16 UK mpg14.93 km/l,,,,,
Eagle,Summit,Summit Wagon,2.4i 16V (136 Hp) Automa,1991 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Petrol (Gasoline),,"10.2 kg/Hp, 97.8 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1390 kg  3064.43 lbs.,,,Dimensions,4280 mm  168.5 in.,1695 mm  66.73 in.,1591 mm  62.64 in.,2520 mm  99.21 in.,1455 mm  57.28 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",All wheel drive (4x4),4,Ventilated discs,Drum,ABS (Anti-lock braking system),205/70 R14 S,14,,,,"7.1 kg/Nm, 141.7 Nm/tonne",Engine specs,136 Hp @ 5500 rpm.,197 Nm @ 4250 rpm.  145.3 lb.-ft. @ 4250 rpm.,4,Inline,Naturally aspirated engine,,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",86.5 mm  3.41 in.,100 mm  3.94 in.,9.5,,,,1998 year,57.8 Hp/l,2351 cm3 143.47 cu. in.,4,OHC,676 l  23.87 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,Hydraulic Steering,11.2 l/100 km  21 US mpg25.22 UK mpg8.93 km/l,1630 l  57.56 cu. ft.,,,,
Eagle,Summit,Summit Wagon,2.4i 16V (136 Hp),1991 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Petrol (Gasoline),,"10.2 kg/Hp, 97.8 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1390 kg  3064.43 lbs.,,,Dimensions,4280 mm  168.5 in.,1695 mm  66.73 in.,1591 mm  62.64 in.,2520 mm  99.21 in.,1455 mm  57.28 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",All wheel drive (4x4),,Ventilated discs,Drum,ABS (Anti-lock braking system),205/70 R14 S,,,,,"7.1 kg/Nm, 141.7 Nm/tonne",Engine specs,136 Hp @ 5500 rpm.,197 Nm @ 4250 rpm.  145.3 lb.-ft. @ 4250 rpm.,4,Inline,Naturally aspirated engine,,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",86.5 mm  3.41 in.,100 mm  3.94 in.,9.5,,,5,1998 year,57.8 Hp/l,2351 cm3 143.47 cu. in.,4,OHC,676 l  23.87 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,Hydraulic Steering,11.2 l/100 km  21 US mpg25.22 UK mpg8.93 km/l,1630 l  57.56 cu. ft.,,,,
