Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel Type,Maximum speed,Weight-to-power ratio,Electric cars and hybrids specs,Gross battery capacity,All-electric range,Electric motor 1,Electric motor power,Electric motor Torque,System power,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Trunk (boot) space - minimum,Dimensions,Length,Width,Height,Front track,Rear (Back) track,Minimum turning circle (turning diameter),"Drivetrain, brakes and suspension specs",Drive wheel,Number of Gears (automatic transmission),Front suspension,Rear suspension,Front brakes,Rear brakes,Assisting systems,Tires size,Wheel rims size,End of production,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel consumption (economy) - combined,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Emission standard,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine location,Engine displacement,Number of cylinders,Position of cylinders,Cylinder Bore,Piston Stroke,Compression ratio,Number of valves per cylinder,Fuel System,Engine aspiration,Fuel tank capacity,Wheelbase,Drivetrain Architecture,Number of Gears (manual transmission),Power steering,Engine Model/Code,Valvetrain,Trunk (boot) space - maximum,Steering type,Max. weight,Max load,Acceleration 0 - 200 km/h,Ride height (ground clearance),Average Energy consumption,Approach angle,Departure angle
Zacua,MX2,MX2,18 kWh (46 Hp) Electric,"July, 2017 year",BEV (Electric Vehicle),Coupe,2,2,Performance specs,Electricity,85 km/h  52.82 mph,"14.9 kg/Hp, 67.2 Hp/tonne",Electric cars and hybrids specs,18 kWh,160 km  99.42 mi,Electric motor 1,46 Hp @ 3750 rpm.,87 Nm  64.17 lb.-ft.,46 Hp @ 3750 rpm.,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",685 kg  1510.17 lbs.,247 l  8.72 cu. ft.,Dimensions,3065 mm  120.67 in.,1770 mm  69.69 in.,1442 mm  56.77 in.,1370 mm  53.94 in.,1370 mm  53.94 in.,8.0 m  26.25 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,1,Independent type McPherson,"Independent, spring, Transverse stabilizer","Disc, 225 mm","Disc, 200 mm",ABS (Anti-lock braking system),155/60 R15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacua,MX3,MX3,18 kWh (46 Hp) Electric,"July, 2017 year",BEV (Electric Vehicle),Hatchback,2,3,Performance specs,Electricity,85 km/h  52.82 mph,"14.9 kg/Hp, 67.2 Hp/tonne",Electric cars and hybrids specs,18 kWh,160 km  99.42 mi,Electric motor 1,46 Hp @ 3750 rpm.,87 Nm  64.17 lb.-ft.,46 Hp @ 3750 rpm.,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",685 kg  1510.17 lbs.,487 l  17.2 cu. ft.,Dimensions,3065 mm  120.67 in.,1770 mm  69.69 in.,1442 mm  56.77 in.,1370 mm  53.94 in.,1370 mm  53.94 in.,8.0 m  26.25 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,1,Independent type McPherson,"Independent, spring, Transverse stabilizer","Disc, 225 mm","Disc, 200 mm",ABS (Anti-lock braking system),155/60 R15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zastava,10,10,1.2 8V (60 Hp),"October, 2005 year",Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),155 km/h  96.31 mph,"14.6 kg/Hp, 68.6 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",875 kg  1929.04 lbs.,,Dimensions,3865 mm  152.17 in.,1660 mm  65.35 in.,1480 mm  58.27 in.,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,,"Independent, Spring McPherson, with stabilizer",Torsion,Disc,Drum,,165/70 K14,,2008 year,7.3 l/100 km  32.22 US mpg38.7 UK mpg13.7 km/l,4.8 l/100 km  49 US mpg58.85 UK mpg20.83 km/l,5.7 l/100 km  41.27 US mpg49.56 UK mpg17.54 km/l,14.3 sec,14.3 sec,13.6 sec,Euro 4,"8.6 kg/Nm, 116.6 Nm/tonne",Engine specs,60 Hp @ 5000 rpm.,48.3 Hp/l,102 Nm @ 2500 rpm.  75.23 lb.-ft. @ 2500 rpm.,"Front, Transverse",1242 cm3 75.79 cu. in.,4,Inline,70.8 mm  2.79 in.,78.9 mm  3.11 in.,9.8,2,Multi-point indirect injection,Naturally aspirated engine,47 l  12.42 US gal | 10.34 UK gal,2460 mm  96.85 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,Electric Steering,,,,,,,,,,,
Zastava,101,101 (1100),1.1 Super (64 Hp),1979 year,Internal Combustion engine,Hatchback,,,Performance specs,Petrol (Gasoline),,,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,,,1981 year,,,,,,,,,Engine specs,64 Hp,,,,,,,,,,,,Naturally aspirated engine,,,,,,,,,,,,,,,,
Zastava,101,101 (1100),1.1 (56 Hp),1975 year,Internal Combustion engine,Hatchback,5,3/5,Performance specs,Petrol (Gasoline),135 km/h  83.89 mph,"14.6 kg/Hp, 68.3 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",820 kg  1807.79 lbs.,,Dimensions,3890 mm  153.15 in.,1590 mm  62.6 in.,1345 mm  52.95 in.,1300 mm  51.18 in.,1310 mm  51.57 in.,10 m  32.81 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,,McPherson,Independent on trapezoidal lever,Disc,Drum,,145/80 SR13,13,1993 year,8 l/100 km  29.4 US mpg35.31 UK mpg12.5 km/l,6.5 l/100 km  36.19 US mpg43.46 UK mpg15.38 km/l,7 l/100 km  33.6 US mpg40.35 UK mpg14.29 km/l,16 sec,16 sec,15.2 sec,,"10.4 kg/Nm, 96.3 Nm/tonne",Engine specs,56 Hp @ 6600 rpm.,50.2 Hp/l,79 Nm  58.27 lb.-ft.,"Front, Transverse",1116 cm3 68.1 cu. in.,4,Inline,80 mm  3.15 in.,55.5 mm  2.19 in.,9.2,2,Carburettor,Naturally aspirated engine,39 l  10.3 US gal | 8.58 UK gal,2440 mm  96.06 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,4+1,,128.A064,SOHC,,,,,,,,,
Zastava,101,101 (1100),1.1 (55 Hp),"October, 1971 year",Internal Combustion engine,Hatchback,,5,Performance specs,Petrol (Gasoline),145 km/h  90.1 mph,,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,,,1980 year,,,,13 sec,13 sec,12.4 sec,,,Engine specs,55 Hp,,,,,,,,,,,,Naturally aspirated engine,,,,,,,,,,,,,,,,
Zastava,101,101 (1100),1.1 (50 Hp),1975 year,Internal Combustion engine,Hatchback,,,Performance specs,Petrol (Gasoline),,,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,,,1980 year,,,,,,,,,Engine specs,50 Hp,,,,,,,,,,,,Naturally aspirated engine,,,,,,,,,,,,,,,,
Zastava,128 Skala,128 Skala,1.3 (65 Hp),1984 year,Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),140 km/h  86.99 mph,"12.9 kg/Hp, 77.4 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",840 kg  1851.88 lbs.,325 l  11.48 cu. ft.,Dimensions,3840 mm  151.18 in.,1590 mm  62.6 in.,1350 mm  53.15 in.,1310 mm  51.57 in.,1315 mm  51.77 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Coil spring,Helical spring,Disc,Drum,ABS (Anti-lock braking system),145/80 R13,,1995 year,,,,14.2 sec,14.2 sec,13.5 sec,,"8.6 kg/Nm, 116.7 Nm/tonne",Engine specs,65 Hp @ 6000 rpm.,49.9 Hp/l,98 Nm @ 3000 rpm.  72.28 lb.-ft. @ 3000 rpm.,"Front, Transverse",1302 cm3 79.45 cu. in.,4,Inline,86.4 mm  3.4 in.,55.5 mm  2.19 in.,9.2,2,Carburettor,Naturally aspirated engine,36 l  9.51 US gal | 7.92 UK gal,2450 mm  96.46 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,1010 l  35.67 cu. ft.,Steering rack and pinion,,,,,,,
Zastava,128 Skala,128 Skala,1.1 (54 Hp),1984 year,Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),135 km/h  83.89 mph,"15.4 kg/Hp, 65.1 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",830 kg  1829.84 lbs.,325 l  11.48 cu. ft.,Dimensions,3840 mm  151.18 in.,1590 mm  62.6 in.,1350 mm  53.15 in.,1310 mm  51.57 in.,1315 mm  51.77 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Coil spring,Helical spring,Disc,Drum,ABS (Anti-lock braking system),145/80 R13,,1995 year,,,,20 sec,20 sec,19 sec,,"10.6 kg/Nm, 94 Nm/tonne",Engine specs,54 Hp @ 6000 rpm.,48.4 Hp/l,78 Nm @ 3000 rpm.  57.53 lb.-ft. @ 3000 rpm.,"Front, Transverse",1116 cm3 68.1 cu. in.,4,Inline,80 mm  3.15 in.,55.5 mm  2.19 in.,9.2,2,Carburettor,Naturally aspirated engine,36 l  9.51 US gal | 7.92 UK gal,2450 mm  96.46 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,1010 l  35.67 cu. ft.,Steering rack and pinion,1235 kg  2722.71 lbs.,405 kg  892.87 lbs.,,,,,
Zastava,Yugo,Yugo Cabrio,1.3 i (68 Hp),2002 year,Internal Combustion engine,Cabriolet,4,2,Performance specs,Petrol (Gasoline),155 km/h  96.31 mph,"12.6 kg/Hp, 79.5 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",855 kg  1884.95 lbs.,170 l  6 cu. ft.,Dimensions,3540 mm  139.37 in.,1548 mm  60.94 in.,1390 mm  54.72 in.,1310 mm  51.57 in.,1310 mm  51.57 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Coil spring,Helical spring,Disc,Drum,ABS (Anti-lock braking system),155/70 R13,,2008 year,,,,14 sec,14 sec,13.3 sec,,"8.6 kg/Nm, 117 Nm/tonne",Engine specs,68 Hp @ 5500 rpm.,52.3 Hp/l,100 Nm @ 3800 rpm.  73.76 lb.-ft. @ 3800 rpm.,"Front, Transverse",1299 cm3 79.27 cu. in.,4,Inline,86.4 mm  3.4 in.,55.38 mm  2.18 in.,9.1,2,Multi-point indirect injection,Naturally aspirated engine,48 l  12.68 US gal | 10.56 UK gal,2150 mm  84.65 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,,Steering rack and pinion,1220 kg  2689.64 lbs.,365 kg  804.69 lbs.,,,,,
Zastava,Yugo,Yugo Florida,1.6 i (95 Hp),2003 year,Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),175 km/h  108.74 mph,"10.5 kg/Hp, 95 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1000 kg  2204.62 lbs.,410 l  14.48 cu. ft.,Dimensions,4030 mm  158.66 in.,1658 mm  65.28 in.,1428 mm  56.22 in.,1400 mm  55.12 in.,1395 mm  54.92 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Coil spring,Helical spring,Disc,Drum,ABS (Anti-lock braking system),165/70 R13,,2008 year,,,,11.5 sec,11.5 sec,10.9 sec,,"7.4 kg/Nm, 136 Nm/tonne",Engine specs,95 Hp @ 5700 rpm.,59.9 Hp/l,136 Nm @ 3500 rpm.  100.31 lb.-ft. @ 3500 rpm.,"Front, Transverse",1587 cm3 96.84 cu. in.,4,Inline,78.5 mm  3.09 in.,82 mm  3.23 in.,10.5,2,Multi-point indirect injection,Naturally aspirated engine,45 l  11.89 US gal | 9.9 UK gal,2500 mm  98.43 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,1280 l  45.2 cu. ft.,Steering rack and pinion,1400 kg  3086.47 lbs.,400 kg  881.85 lbs.,,,,,
Zastava,Yugo,Yugo Florida,1.4 i (71 Hp),1997 year,Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),160 km/h  99.42 mph,"13.5 kg/Hp, 74 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",960 kg  2116.44 lbs.,410 l  14.48 cu. ft.,Dimensions,3930 mm  154.72 in.,1660 mm  65.35 in.,1410 mm  55.51 in.,1400 mm  55.12 in.,1395 mm  54.92 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Coil spring,Helical spring,Disc,Drum,ABS (Anti-lock braking system),165/70 R13,,2008 year,,,,14.5 sec,14.5 sec,13.8 sec,,"9.1 kg/Nm, 110.4 Nm/tonne",Engine specs,71 Hp @ 6000 rpm.,51.7 Hp/l,106 Nm @ 3000 rpm.  78.18 lb.-ft. @ 3000 rpm.,"Front, Transverse",1372 cm3 83.72 cu. in.,4,Inline,80.5 mm  3.17 in.,67.4 mm  2.65 in.,9.2,2,Multi-point indirect injection,Naturally aspirated engine,48 l  12.68 US gal | 10.56 UK gal,2500 mm  98.43 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,1180 l  41.67 cu. ft.,Steering rack and pinion,1420 kg  3130.56 lbs.,460 kg  1014.13 lbs.,,,,,
Zastava,Yugo,Yugo Florida,1.3 i (68 Hp),2003 year,Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),157 km/h  97.56 mph,"14 kg/Hp, 71.6 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",950 kg  2094.39 lbs.,410 l  14.48 cu. ft.,Dimensions,4030 mm  158.66 in.,1658 mm  65.28 in.,1428 mm  56.22 in.,1400 mm  55.12 in.,1395 mm  54.92 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Coil spring,Helical spring,Disc,Drum,ABS (Anti-lock braking system),165/70 R13,,2008 year,,,,15 sec,15 sec,14.3 sec,,"9.5 kg/Nm, 105.3 Nm/tonne",Engine specs,68 Hp @ 5500 rpm.,52.3 Hp/l,100 Nm @ 3800 rpm.  73.76 lb.-ft. @ 3800 rpm.,"Front, Transverse",1299 cm3 79.27 cu. in.,4,Inline,86.4 mm  3.4 in.,55.38 mm  2.18 in.,9.1,2,Multi-point indirect injection,Naturally aspirated engine,48 l  12.68 US gal | 10.56 UK gal,2500 mm  98.43 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,1280 l  45.2 cu. ft.,Steering rack and pinion,1420 kg  3130.56 lbs.,470 kg  1036.17 lbs.,,,,,
Zastava,Yugo,Yugo Florida,1.3 (103 A) (68 Hp),1991 year,Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),157 km/h  97.56 mph,"13.4 kg/Hp, 74.7 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",910 kg  2006.21 lbs.,410 l  14.48 cu. ft.,Dimensions,3930 mm  154.72 in.,1660 mm  65.35 in.,1410 mm  55.51 in.,1400 mm  55.12 in.,1395 mm  54.92 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Coil spring,Helical spring,Disc,Drum,ABS (Anti-lock braking system),165/70 R13,,2000 year,,,,15 sec,15 sec,14.3 sec,,"9.1 kg/Nm, 109.9 Nm/tonne",Engine specs,68 Hp @ 5500 rpm.,52.7 Hp/l,100 Nm @ 3700 rpm.  73.76 lb.-ft. @ 3700 rpm.,"Front, Transverse",1290 cm3 78.72 cu. in.,4,Inline,86 mm  3.39 in.,55.5 mm  2.19 in.,9.2,2,Mono-point injection,Naturally aspirated engine,48 l  12.68 US gal | 10.56 UK gal,2500 mm  98.43 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,1180 l  41.67 cu. ft.,Steering rack and pinion,1420 kg  3130.56 lbs.,510 kg  1124.36 lbs.,,,,,
Zastava,Yugo,Yugo Florida,1.1 (60 Hp),1990 year,Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),150 km/h  93.21 mph,"15.2 kg/Hp, 65.9 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",910 kg  2006.21 lbs.,410 l  14.48 cu. ft.,Dimensions,3930 mm  154.72 in.,1660 mm  65.35 in.,1410 mm  55.51 in.,1400 mm  55.12 in.,1395 mm  54.92 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Coil spring,Helical spring,Disc,Drum,ABS (Anti-lock braking system),165/70 R13,,2008 year,,,,16.5 sec,16.5 sec,15.7 sec,,"11.4 kg/Nm, 87.9 Nm/tonne",Engine specs,60 Hp @ 6400 rpm.,53.8 Hp/l,80 Nm @ 3800 rpm.  59 lb.-ft. @ 3800 rpm.,"Front, Transverse",1116 cm3 68.1 cu. in.,4,Inline,80 mm  3.15 in.,55.5 mm  2.19 in.,9.2,2,Carburettor,Naturally aspirated engine,48 l  12.68 US gal | 10.56 UK gal,2500 mm  98.43 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,1180 l  41.67 cu. ft.,Steering rack and pinion,,,,,,,
Zastava,Yugo,Yugo Koral,1.3 i (67 Hp),2003 year,Internal Combustion engine,Hatchback,5,3,Performance specs,Petrol (Gasoline),150 km/h  93.21 mph,"12.4 kg/Hp, 80.7 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",830 kg  1829.84 lbs.,170 l  6 cu. ft.,Dimensions,3552 mm  139.84 in.,1548 mm  60.94 in.,1345 mm  52.95 in.,1308 mm  51.5 in.,1312 mm  51.65 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Coil spring,Helical spring,Disc,Drum,,155/70 R13,,2008 year,,,,13.8 sec,13.8 sec,13.1 sec,,"8.7 kg/Nm, 114.5 Nm/tonne",Engine specs,67 Hp @ 5500 rpm.,51.5 Hp/l,95 Nm @ 3800 rpm.  70.07 lb.-ft. @ 3800 rpm.,"Front, Transverse",1301 cm3 79.39 cu. in.,4,Inline,86.4 mm  3.4 in.,55.5 mm  2.19 in.,9.1,2,Multi-point indirect injection,Naturally aspirated engine,48 l  12.68 US gal | 10.56 UK gal,2150 mm  84.65 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,870 l  30.72 cu. ft.,Steering rack and pinion,1230 kg  2711.69 lbs.,400 kg  881.85 lbs.,,,,,
Zastava,Yugo,Yugo Koral,1.3 (65 Hp),1990 year,Internal Combustion engine,Hatchback,5,3,Performance specs,Petrol (Gasoline),155 km/h  96.31 mph,"12.9 kg/Hp, 77.4 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",840 kg  1851.88 lbs.,170 l  6 cu. ft.,Dimensions,3490 mm  137.4 in.,1540 mm  60.63 in.,1340 mm  52.76 in.,1310 mm  51.57 in.,1310 mm  51.57 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Coil spring,Helical spring,Disc,Drum,,155/70 R13,,2008 year,,,,14.5 sec,14.5 sec,13.8 sec,,"8.6 kg/Nm, 116.7 Nm/tonne",Engine specs,65 Hp @ 6000 rpm.,49.9 Hp/l,98 Nm @ 3000 rpm.  72.28 lb.-ft. @ 3000 rpm.,"Front, Transverse",1302 cm3 79.45 cu. in.,4,Inline,86.4 mm  3.4 in.,55.5 mm  2.19 in.,9.2,2,Carburettor,Naturally aspirated engine,32 l  8.45 US gal | 7.04 UK gal,2150 mm  84.65 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,450 l  15.89 cu. ft.,Steering rack and pinion,1210 kg  2667.59 lbs.,370 kg  815.71 lbs.,,,,,
Zastava,Yugo,Yugo Koral,1.1i (62 Hp),2003 year,Internal Combustion engine,Hatchback,5,3,Performance specs,Petrol (Gasoline),150 km/h  93.21 mph,"13.4 kg/Hp, 74.7 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",830 kg  1829.84 lbs.,170 l  6 cu. ft.,Dimensions,3552 mm  139.84 in.,1548 mm  60.94 in.,1345 mm  52.95 in.,1308 mm  51.5 in.,1312 mm  51.65 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Coil spring,Helical spring,Disc,Drum,,155/70 R13,,2008 year,,,,15 sec,15 sec,14.3 sec,,"9.8 kg/Nm, 102.4 Nm/tonne",Engine specs,62 Hp @ 5600 rpm.,55.6 Hp/l,85 Nm @ 3800 rpm.  62.69 lb.-ft. @ 3800 rpm.,"Front, Transverse",1116 cm3 68.1 cu. in.,4,Inline,80 mm  3.15 in.,55.5 mm  2.19 in.,9.2,2,Multi-point indirect injection,Naturally aspirated engine,48 l  12.68 US gal | 10.56 UK gal,2150 mm  84.65 in.,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,870 l  30.72 cu. ft.,Steering rack and pinion,1230 kg  2711.69 lbs.,400 kg  881.85 lbs.,,,,,
