Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel Type,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Maximum speed,Weight-to-power ratio,Electric cars and hybrids specs,Gross battery capacity,All-electric range,Electric motor 1,Electric motor power,Electric motor Torque,Electric motor 2,System power,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Trunk (boot) space - minimum,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,Ride height (ground clearance),Minimum turning circle (turning diameter),"Drivetrain, brakes and suspension specs",Drive wheel,Number of Gears (automatic transmission),Front suspension,Rear suspension,Front brakes,Rear brakes,Assisting systems,Steering type,Power steering,Tires size,Wheel rims size,Fuel consumption (economy) - combined,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine location,Engine displacement,Number of cylinders,Position of cylinders,Number of valves per cylinder,Fuel System,Engine aspiration,Valvetrain,Trunk (boot) space - maximum,Fuel tank capacity,Approach angle,Departure angle,Ramp angle,Drivetrain Architecture,Number of Gears (manual transmission),End of production,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Max. weight,Max load
Qiantu,K50,K50,78.8 kWh (380 Hp) AWD Electric,2017 year,BEV (Electric Vehicle),Coupe,2,2,Performance specs,Electricity,<4.6 sec,<4.6 sec,4.4 sec,200 km/h  124.27 mph,"5.2 kg/Hp, 193.9 Hp/tonne",Electric cars and hybrids specs,78.8 kWh,380 km  236.12 mi,Electric motor 1,190 Hp,290 Nm  213.89 lb.-ft.,Electric motor 2,380 Hp,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1960 kg  4321.06 lbs.,65 l  2.3 cu. ft.,Dimensions,4634 mm  182.44 in.,2069 mm  81.46 in.,1253 mm  49.33 in.,2650 mm  104.33 in.,1798 mm  70.79 in.,1791 mm  70.51 in.,103 mm  4.06 in.,12.0 m  39.37 ft.,"Drivetrain, brakes and suspension specs",All wheel drive (4x4),1,Double wishbone,Double wishbone,"Ventilated discs, 345 mm","Ventilated discs, 365 mm",ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,235/35 ZR19; 265/35 ZR19,8.0J x 19; 9.5J x 19,,,,,,,,,,,,,,,,,,,,,,,,,,
Qoros,3,3 GT,1.6 (156 Hp) DCT,"November, 2016 year",Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),9.8 sec,9.8 sec,9.3 sec,211 km/h  131.11 mph,"9.2 kg/Hp, 109.1 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1430 kg  3152.61 lbs.,450 l  15.89 cu. ft.,Dimensions,4633 mm  182.4 in.,1854 mm  72.99 in.,1509 mm  59.41 in.,2705 mm  106.5 in.,1588 mm  62.52 in.,1578 mm  62.13 in.,174 mm  6.85 in.,11.7 m  38.39 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,6 DCT,Independent type McPherson,"Semi-independent, coil spring",Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,215/55 R18,18,6.4 l/100 km  36.75 US mpg44.14 UK mpg15.63 km/l,"6.2 kg/Nm, 160.8 Nm/tonne",Engine specs,156 Hp @ 5500 rpm.,97.6 Hp/l,230 Nm @ 2500-4500 rpm.  169.64 lb.-ft. @ 2500-4500 rpm.,"Front, Transverse",1598 cm3 97.52 cu. in.,4,Inline,4,Multi-point indirect injection,Turbocharger,"DOHC, D-VVT",900 l  31.78 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,15.4°,15.1°,15.6°,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,,,
Qoros,3,3 GT,1.6 (156 Hp),"November, 2016 year",Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),9.3 sec,9.3 sec,8.8 sec,210 km/h  130.49 mph,"8.9 kg/Hp, 112.2 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1390 kg  3064.43 lbs.,450 l  15.89 cu. ft.,Dimensions,4633 mm  182.4 in.,1854 mm  72.99 in.,1509 mm  59.41 in.,2705 mm  106.5 in.,1588 mm  62.52 in.,1578 mm  62.13 in.,174 mm  6.85 in.,11.7 m  38.39 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,,Independent type McPherson,"Semi-independent, coil spring",Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,215/55 R18,18,6.6 l/100 km  35.64 US mpg42.8 UK mpg15.15 km/l,"6 kg/Nm, 165.5 Nm/tonne",Engine specs,156 Hp @ 5500 rpm.,97.6 Hp/l,230 Nm @ 2500-4500 rpm.  169.64 lb.-ft. @ 2500-4500 rpm.,"Front, Transverse",1598 cm3 97.52 cu. in.,4,Inline,4,Multi-point indirect injection,Turbocharger,"DOHC, D-VVT",900 l  31.78 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,15.4°,15.1°,15.6°,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,6,,,,,
Qoros,3,3 Hatch,1.6 (156 Hp) DCT,"June, 2014 year",Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),9.5 sec,9.5 sec,9 sec,210 km/h  130.49 mph,"9.1 kg/Hp, 109.5 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1425 kg  3141.59 lbs.,403 l  14.23 cu. ft.,Dimensions,4450 mm  175.2 in.,1839 mm  72.4 in.,1445 mm  56.89 in.,2702 mm  106.38 in.,1579 mm  62.17 in.,1585 mm  62.4 in.,,11.0 m  36.09 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,6 DCT,Independent type McPherson,"Semi-independent, coil spring",Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,225/45 R18,18,6.3 l/100 km  37.34 US mpg44.84 UK mpg15.87 km/l,"6.2 kg/Nm, 161.4 Nm/tonne",Engine specs,156 Hp @ 5500 rpm.,97.6 Hp/l,230 Nm @ 2500-4500 rpm.  169.64 lb.-ft. @ 2500-4500 rpm.,"Front, Transverse",1598 cm3 97.52 cu. in.,4,Inline,4,Multi-point indirect injection,Turbocharger,"DOHC, D-VVT",1105 l  39.02 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,,,
Qoros,3,3 Hatch,1.6 (126 Hp) DCT,"June, 2014 year",Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),12.6 sec,12.6 sec,12 sec,193 km/h  119.92 mph,"10.8 kg/Hp, 92.6 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1360-1375 kg  2998.29 - 3031.36 lbs.,403 l  14.23 cu. ft.,Dimensions,4450 mm  175.2 in.,1839 mm  72.4 in.,1445 mm  56.89 in.,2702 mm  106.38 in.,1579 mm  62.17 in.,1585 mm  62.4 in.,,11.0 m  36.09 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,6 DCT,Independent type McPherson,"Semi-independent, coil spring",Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,205/60 R16,16,5.9-6.1 l/100 km  39.87 - 38.56 US mpg47.88 - 46.31 UK mpg16.95 - 16.39 km/l,"8.8 kg/Nm, 114 Nm/tonne",Engine specs,126 Hp @ 6150 rpm.,78.8 Hp/l,155 Nm @ 3900 rpm.  114.32 lb.-ft. @ 3900 rpm.,"Front, Transverse",1598 cm3 97.52 cu. in.,4,Inline,4,Multi-point indirect injection,Naturally aspirated engine,"DOHC, D-VVT",1105 l  39.02 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,,,
Qoros,3,3 Sedan,1.6 (156 Hp) DCT,"November, 2013 year",Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),9.5 sec,9.5 sec,9 sec,217 km/h  134.84 mph,"9.1 kg/Hp, 109.5 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1425 kg  3141.59 lbs.,450 l  15.89 cu. ft.,Dimensions,4627 mm  182.17 in.,1839 mm  72.4 in.,1445 mm  56.89 in.,2702 mm  106.38 in.,1579 mm  62.17 in.,1585 mm  62.4 in.,,11.5 m  37.73 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,6 DCT,Independent type McPherson,"Semi-independent, coil spring",Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,225/45 R18,18,6.2 l/100 km  37.94 US mpg45.56 UK mpg16.13 km/l,"6.2 kg/Nm, 161.4 Nm/tonne",Engine specs,156 Hp @ 5500 rpm.,97.6 Hp/l,230 Nm @ 2500-4500 rpm.  169.64 lb.-ft. @ 2500-4500 rpm.,"Front, Transverse",1598 cm3 97.52 cu. in.,4,Inline,4,Multi-point indirect injection,Turbocharger,"DOHC, D-VVT",900 l  31.78 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,,,
Qoros,3,3 Sedan,1.6 (126 Hp) DCT,"November, 2013 year",Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),12.6 sec,12.6 sec,12 sec,197 km/h  122.41 mph,"10.8 kg/Hp, 92.6 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1360-1375 kg  2998.29 - 3031.36 lbs.,450 l  15.89 cu. ft.,Dimensions,4627 mm  182.17 in.,1839 mm  72.4 in.,1445 mm  56.89 in.,2702 mm  106.38 in.,1579 mm  62.17 in.,1585 mm  62.4 in.,,11.5 m  37.73 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,6 DCT,Independent type McPherson,"Semi-independent, coil spring",Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,205/60 R16,16,5.8-6.0 l/100 km  40.55 - 39.2 US mpg48.7 - 47.08 UK mpg17.24 - 16.67 km/l,"8.8 kg/Nm, 114 Nm/tonne",Engine specs,126 Hp @ 6150 rpm.,78.8 Hp/l,155 Nm @ 3900 rpm.  114.32 lb.-ft. @ 3900 rpm.,"Front, Transverse",1598 cm3 97.52 cu. in.,4,Inline,4,Multi-point indirect injection,Naturally aspirated engine,"DOHC, D-VVT",900 l  31.78 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,,,
Qoros,3,3 Sedan,1.6 (126 Hp),"November, 2013 year",Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),11.6 sec,11.6 sec,11 sec,197 km/h  122.41 mph,"10.5 kg/Hp, 95.5 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1320 kg  2910.1 lbs.,450 l  15.89 cu. ft.,Dimensions,4627 mm  182.17 in.,1839 mm  72.4 in.,1445 mm  56.89 in.,2702 mm  106.38 in.,1579 mm  62.17 in.,1585 mm  62.4 in.,,11.5 m  37.73 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,,Independent type McPherson,"Semi-independent, coil spring",Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,205/60 R16,16,6.1 l/100 km  38.56 US mpg46.31 UK mpg16.39 km/l,"8.5 kg/Nm, 117.4 Nm/tonne",Engine specs,126 Hp @ 6150 rpm.,78.8 Hp/l,155 Nm @ 3900 rpm.  114.32 lb.-ft. @ 3900 rpm.,"Front, Transverse",1598 cm3 97.52 cu. in.,4,Inline,4,Multi-point indirect injection,Naturally aspirated engine,"DOHC, D-VVT",900 l  31.78 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,6,,,,,
Qoros,3,3 City SUV,1.6 (156 Hp) DCT,"December, 2014 year",Internal Combustion engine,SUV,5,5,Performance specs,Petrol (Gasoline),9.8 sec,9.8 sec,9.3 sec,208 km/h  129.25 mph,"9.2 kg/Hp, 109.1 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1430 kg  3152.61 lbs.,403 l  14.23 cu. ft.,Dimensions,4463 mm  175.71 in.,1854 mm  72.99 in.,1504 mm  59.21 in.,2705 mm  106.5 in.,1588 mm  62.52 in.,1577 mm  62.09 in.,170 mm  6.69 in.,11.4 m  37.4 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,6 DCT,Independent type McPherson,"Semi-independent, coil spring",Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,215/60 R17,17,6.5 l/100 km  36.19 US mpg43.46 UK mpg15.38 km/l,"6.2 kg/Nm, 160.8 Nm/tonne",Engine specs,156 Hp @ 5500 rpm.,97.6 Hp/l,230 Nm @ 2500-4500 rpm.  169.64 lb.-ft. @ 2500-4500 rpm.,"Front, Transverse",1598 cm3 97.52 cu. in.,4,Inline,4,Multi-point indirect injection,Turbocharger,"DOHC, D-VVT",1105 l  39.02 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,,,
Qoros,3,3 City SUV,1.6 (156 Hp),"December, 2014 year",Internal Combustion engine,SUV,5,5,Performance specs,Petrol (Gasoline),9.3 sec,9.3 sec,8.8 sec,205 km/h  127.38 mph,"8.9 kg/Hp, 112.2 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1390 kg  3064.43 lbs.,403 l  14.23 cu. ft.,Dimensions,4463 mm  175.71 in.,1854 mm  72.99 in.,1504 mm  59.21 in.,2705 mm  106.5 in.,1588 mm  62.52 in.,1577 mm  62.09 in.,170 mm  6.69 in.,11.4 m  37.4 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,,Independent type McPherson,"Semi-independent, coil spring",Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,215/60 R17,17,6.8 l/100 km  34.59 US mpg41.54 UK mpg14.71 km/l,"6 kg/Nm, 165.5 Nm/tonne",Engine specs,156 Hp @ 5500 rpm.,97.6 Hp/l,230 Nm @ 2500-4500 rpm.  169.64 lb.-ft. @ 2500-4500 rpm.,"Front, Transverse",1598 cm3 97.52 cu. in.,4,Inline,4,Multi-point indirect injection,Turbocharger,"DOHC, D-VVT",1105 l  39.02 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,6,,,,,
Qoros,5,5 SUV,1.6 (156 Hp) DCT,2016 year,Internal Combustion engine,SUV,5,5,Performance specs,Petrol (Gasoline),10.5 sec,10.5 sec,10 sec,200 km/h  124.27 mph,"10.1 kg/Hp, 99.4 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1570-1600 kg  3461.26 - 3527.4 lbs.,450 l  15.89 cu. ft.,Dimensions,4600 mm  181.1 in.,1869 mm  73.58 in.,1676 mm  65.98 in.,2710 mm  106.69 in.,1619 mm  63.74 in.,1607 mm  63.27 in.,240 mm  9.45 in.,11.7 m  38.39 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,6 DCT,Independent type McPherson,Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,225/65 R17; 235/55 R18; 235/50 R19,17; 18; 19,7.3-7.7 l/100 km  32.22 - 30.55 US mpg38.7 - 36.69 UK mpg13.7 - 12.99 km/l,"6.8 kg/Nm, 146.5 Nm/tonne",Engine specs,156 Hp @ 5500 rpm.,97.6 Hp/l,230 Nm @ 2500-4500 rpm.  169.64 lb.-ft. @ 2500-4500 rpm.,"Front, Transverse",1598 cm3 97.52 cu. in.,4,Inline,4,Multi-point indirect injection,Turbocharger,"DOHC, D-VVT",1500 l  52.97 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,,,
Qoros,5,5 SUV,1.6 (156 Hp),2016 year,Internal Combustion engine,SUV,5,5,Performance specs,Petrol (Gasoline),10.7 sec,10.7 sec,10.2 sec,195 km/h  121.17 mph,"9.9 kg/Hp, 101.3 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1540 kg  3395.12 lbs.,450 l  15.89 cu. ft.,Dimensions,4600 mm  181.1 in.,1869 mm  73.58 in.,1676 mm  65.98 in.,2710 mm  106.69 in.,1619 mm  63.74 in.,1607 mm  63.27 in.,240 mm  9.45 in.,11.7 m  38.39 ft.,"Drivetrain, brakes and suspension specs",Front wheel drive,,Independent type McPherson,Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,225/65 R17,17,7.4 l/100 km  31.79 US mpg38.17 UK mpg13.51 km/l,"7.3 kg/Nm, 136.4 Nm/tonne",Engine specs,156 Hp @ 5500 rpm.,97.6 Hp/l,210 Nm @ 1750-5000 rpm.  154.89 lb.-ft. @ 1750-5000 rpm.,"Front, Transverse",1598 cm3 97.52 cu. in.,4,Inline,4,Multi-point indirect injection,Turbocharger,"DOHC, D-VVT",1500 l  52.97 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,6,,,,,
Qvale,Mangusta,Mangusta,4.6 i V8 32V (322 Hp),1999 year,Internal Combustion engine,Cabriolet,2,2,Performance specs,Petrol (Gasoline),5.8 sec,5.8 sec,5.5 sec,260 km/h  161.56 mph,"4.3 kg/Hp, 230 Hp/tonne",,,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1400 kg  3086.47 lbs.,,Dimensions,4190 mm  164.96 in.,1900 mm  74.8 in.,1270 mm  50 in.,2670 mm  105.12 in.,1590 mm  62.6 in.,1590 mm  62.6 in.,,,"Drivetrain, brakes and suspension specs",,,Coil spring,Helical spring,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,225/45 R17,17,,"3.3 kg/Nm, 303.6 Nm/tonne",Engine specs,322 Hp @ 6000 rpm.,70 Hp/l,425 Nm @ 4800 rpm.  313.46 lb.-ft. @ 4800 rpm.,,4601 cm3 280.77 cu. in.,8,V-engine,4,Multi-point indirect injection,Naturally aspirated engine,DOHC,,80 l  21.13 US gal | 17.6 UK gal,,,,,5,2002 year,21.3 l/100 km  11.04 US mpg13.26 UK mpg4.69 km/l,11.4 l/100 km  20.63 US mpg24.78 UK mpg8.77 km/l,1670 kg  3681.72 lbs.,270 kg  595.25 lbs.
