Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel consumption (economy) - combined,CO2 emissions,Fuel Type,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine location,Engine displacement,Number of cylinders,Position of cylinders,Number of valves per cylinder,Fuel System,Engine aspiration,Valvetrain,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Number of Gears (automatic transmission),Front suspension,Rear suspension,Front brakes,Rear brakes,Assisting systems,Steering type,Power steering,Tires size,Wheel rims size,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Acceleration 0 - 200 km/h,Maximum speed,End of production,Cylinder Bore,Piston Stroke,Number of Gears (manual transmission),Maximum engine speed,Compression ratio,Fuel tank capacity,Max. weight,Max load,Trunk (boot) space - minimum,Minimum turning circle (turning diameter),Electric cars and hybrids specs,Gross battery capacity,All-electric range,Electric motor 1,Electric motor power,Electric motor Torque,Electric motor 2,System power,System torque,Internal combustion engine specs,Engine Model/Code,Ride height (ground clearance),Approach angle,Departure angle,Emission standard,Engine systems,Wading depth
W Motors,Fenyr,Fenyr SuperSport,4.0 (900 Hp) Automatic,"November, 2015 year",Internal Combustion engine,Coupe,2,2,Performance specs,20 l/100 km  11.76 US mpg14.12 UK mpg5 km/l,9.9 l/100 km  23.76 US mpg28.53 UK mpg10.1 km/l,13.5 l/100 km  17.42 US mpg20.92 UK mpg7.41 km/l,311 g/km,Petrol (Gasoline),"1.4 kg/Hp, 692.3 Hp/tonne","1.2 kg/Nm, 846.2 Nm/tonne",Engine specs,900 Hp @ 7100 rpm.,225 Hp/l,1100 Nm @ 4000 rpm.  811.32 lb.-ft. @ 4000 rpm.,"Middle, Longitudinal",4000 cm3 244.09 cu. in.,6,Boxer,4,Direct injection,"Twin-Turbo, Intercooler",DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1300 kg  2866.01 lbs.,Dimensions,4684 mm  184.41 in.,1983 mm  78.07 in.,1199 mm  47.2 in.,2625 mm  103.35 in.,1667 mm  65.63 in.,1720 mm  67.72 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,7 PDK,Independent type McPherson,"Independent, spring multi-link with stabilizer",Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,255/35 R20; 335/30 R21,8.5J x 20; 12.5J x 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W Motors,Fenyr,Fenyr SuperSport,3.8 (800 Hp) Automatic,2017 year,Internal Combustion engine,Coupe,2,2,Performance specs,20 l/100 km  11.76 US mpg14.12 UK mpg5 km/l,9.9 l/100 km  23.76 US mpg28.53 UK mpg10.1 km/l,13.5 l/100 km  17.42 US mpg20.92 UK mpg7.41 km/l,311 g/km,Petrol (Gasoline),"1.7 kg/Hp, 592.6 Hp/tonne","1.4 kg/Nm, 725.9 Nm/tonne",Engine specs,800 Hp @ 7100 rpm.,210.5 Hp/l,980 Nm @ 4000 rpm.  722.81 lb.-ft. @ 4000 rpm.,"Middle, Longitudinal",3800 cm3 231.89 cu. in.,6,Boxer,4,Direct injection,"Twin-Turbo, Intercooler",DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1350 kg  2976.24 lbs.,Dimensions,4684 mm  184.41 in.,1983 mm  78.07 in.,1199 mm  47.2 in.,2625 mm  103.35 in.,1667 mm  65.63 in.,1720 mm  67.72 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,7 PDK,Independent type McPherson,"Independent, spring multi-link with stabilizer",Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,255/35 ZR19; 335/30 ZR20,8.5J x 19; 12.5J x 20,2.7 sec,2.7 sec,2.6 sec,9.4 sec,395 km/h  245.44 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W Motors,Lykan,Lykan HyperSport,3.7 (780 Hp) Automatic,"February, 2013 year",Internal Combustion engine,Coupe,2,2,Performance specs,20 l/100 km  11.76 US mpg14.12 UK mpg5 km/l,9.9 l/100 km  23.76 US mpg28.53 UK mpg10.1 km/l,13.5 l/100 km  17.42 US mpg20.92 UK mpg7.41 km/l,311 g/km,Petrol (Gasoline),"1.8 kg/Hp, 557.1 Hp/tonne","1.5 kg/Nm, 685.7 Nm/tonne",Engine specs,780 Hp @ 7100 rpm.,208.2 Hp/l,960 Nm @ 4000 rpm.  708.06 lb.-ft. @ 4000 rpm.,"Middle, Longitudinal",3746 cm3 228.59 cu. in.,6,Boxer,4,Direct injection,"Twin-Turbo, Intercooler",DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1400 kg  3086.47 lbs.,Dimensions,4495 mm  176.97 in.,1995 mm  78.54 in.,1180 mm  46.46 in.,2625 mm  103.35 in.,1506 mm  59.29 in.,1585 mm  62.4 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,7 PDK,Independent type McPherson,"Independent, spring multi-link with stabilizer",Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,255/35 R19; 335/30 R20,8.5J x 19; 12.5J x 20,2.8 sec,2.8 sec,2.7 sec,9.4 sec,385 km/h  239.23 mph,2017 year,102 mm  4.02 in.,76.4 mm  3.01 in.,,,,,,,,,,,,,,,,,,,,,,,,,
W Motors,Lykan,Lykan HyperSport,3.7 (780 Hp),"February, 2013 year",Internal Combustion engine,Coupe,2,2,Performance specs,20 l/100 km  11.76 US mpg14.12 UK mpg5 km/l,9.9 l/100 km  23.76 US mpg28.53 UK mpg10.1 km/l,13.5 l/100 km  17.42 US mpg20.92 UK mpg7.41 km/l,311 g/km,Petrol (Gasoline),"1.8 kg/Hp, 557.1 Hp/tonne","1.5 kg/Nm, 685.7 Nm/tonne",Engine specs,780 Hp @ 7100 rpm.,208.2 Hp/l,960 Nm @ 4000 rpm.  708.06 lb.-ft. @ 4000 rpm.,"Middle, Longitudinal",3746 cm3 228.59 cu. in.,6,Boxer,4,Direct injection,"Twin-Turbo, Intercooler",DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1400 kg  3086.47 lbs.,Dimensions,4495 mm  176.97 in.,1995 mm  78.54 in.,1180 mm  46.46 in.,2625 mm  103.35 in.,1506 mm  59.29 in.,1585 mm  62.4 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Independent type McPherson,"Independent, spring multi-link with stabilizer",Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,255/35 R19; 335/30 R20,8.5J x 19; 12.5J x 20,2.8 sec,2.8 sec,2.7 sec,9.4 sec,385 km/h  239.23 mph,2017 year,102 mm  4.02 in.,76.4 mm  3.01 in.,6,,,,,,,,,,,,,,,,,,,,,,,,
Wartburg,311,311,1.0 (45 Hp),1962 year,Internal Combustion engine,Sedan,4-5,4,Performance specs,,7.69 l/100 km  30.59 US mpg36.73 UK mpg13 km/l,8.47 l/100 km  27.77 US mpg33.35 UK mpg11.81 km/l,,Petrol (Gasoline),"20.1 kg/Hp, 49.8 Hp/tonne","9.7 kg/Nm, 103 Nm/tonne",Engine specs,45 Hp @ 4200 rpm.,45 Hp/l,93 Nm @ 2200 rpm.  68.59 lb.-ft. @ 2200 rpm.,"Front, Transverse",1000 cm3 61.02 cu. in.,3,Inline,,Carburettor,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",903 kg  1990.77 lbs.,Dimensions,4300 mm  169.29 in.,1570 mm  61.81 in.,1450 mm  57.09 in.,2450 mm  96.46 in.,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,,Leaf spring,Leaf spring,Drum,Drum,,Worm-reduction unit,,,,,,,,125 km/h  77.67 mph,1967 year,73.5 mm  2.89 in.,78 mm  3.07 in.,4,4500 rpm.,7.5,44 l  11.62 US gal | 9.68 UK gal,,,,,,,,,,,,,,,,,,,,,
Wartburg,353,353 Tourist,1.3 (58 Hp),1989 year,Internal Combustion engine,Station wagon (estate),,,Performance specs,,,,,Petrol (Gasoline),,,Engine specs,58 Hp,,,,,,,,,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991 year,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wartburg,353,353 Tourist,1.0 (50 Hp),1975 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,,,,,Mixture of two stroke engine,,,Engine specs,50 Hp,,,"Front, Longitudinal",,3,Inline,,Carburettor,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,,,,,,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,,Spring Strut,Helical spring,Disc,Drum,,Steering rack and pinion,,185/65 R13,13,,,,,150 km/h  93.21 mph,1989 year,,,4,,,48 l  12.68 US gal | 10.56 UK gal,,,,,,,,,,,,,,,,,,,,,
Wartburg,353,353 Tourist,1.0 (50 Hp),1969 year,Internal Combustion engine,Station wagon (estate),,,Performance specs,,,,,Petrol (Gasoline),,,Engine specs,50 Hp,,,,,,,,,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975 year,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wartburg,353,353 Tourist,1.0 (45 Hp),1966 year,Internal Combustion engine,Station wagon (estate),,,Performance specs,,,,,Petrol (Gasoline),,,Engine specs,45 Hp,,,,,,,,,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969 year,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wartburg,353,353,1.3 (58 Hp),1988 year,Internal Combustion engine,Sedan,,,Performance specs,,,,,Petrol (Gasoline),"15.9 kg/Hp, 63 Hp/tonne","9 kg/Nm, 110.9 Nm/tonne",Engine specs,58 Hp @ 5400 rpm.,44.6 Hp/l,102 Nm  75.23 lb.-ft.,,1300 cm3 79.33 cu. in.,4,,,,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",920 kg  2028.25 lbs.,Dimensions,4220 mm  166.14 in.,1640 mm  64.57 in.,1495 mm  58.86 in.,,,,,,,,,,,,,,,,,15 sec,15 sec,14.3 sec,,170 km/h  105.63 mph,1991 year,,,,,,42 l  11.1 US gal | 9.24 UK gal,,,,,,,,,,,,,,,,,,,,,
Wartburg,353,353,1.0 (50 Hp),1969 year,Internal Combustion engine,Sedan,5,4,Performance specs,,,,,Mixture of two stroke engine,"18.4 kg/Hp, 54.3 Hp/tonne",,Engine specs,50 Hp,50.4 Hp/l,,"Front, Transverse",992 cm3 60.54 cu. in.,3,Inline,,Carburettor,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",920 kg  2028.25 lbs.,Dimensions,4220 mm  166.14 in.,1640 mm  64.57 in.,1495 mm  58.86 in.,,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,,,,Disc,Drum,,,,170/70 R13,13,20 sec,20 sec,19 sec,,150 km/h  93.21 mph,1975 year,,,4,,,,1320 kg  2910.1 lbs.,400 kg  881.85 lbs.,525 l  18.54 cu. ft.,10.2 m  33.46 ft.,,,,,,,,,,,,,,,,,
Wartburg,353,353,1.0 (45 Hp),1966 year,Internal Combustion engine,Sedan,5,4,Performance specs,,,9.9 l/100 km  23.76 US mpg28.53 UK mpg10.1 km/l,,Mixture of two stroke engine,"21.3 kg/Hp, 46.9 Hp/tonne","9.8 kg/Nm, 102.1 Nm/tonne",Engine specs,45 Hp @ 4250 rpm.,45.3 Hp/l,98 Nm @ 3000 rpm.  72.28 lb.-ft. @ 3000 rpm.,"Front, Transverse",993 cm3 60.6 cu. in.,3,,,Carburettor,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",960 kg  2116.44 lbs.,Dimensions,4220 mm  166.14 in.,1640 mm  64.57 in.,1495 mm  58.86 in.,2450 mm  96.46 in.,1260 mm  49.61 in.,1300 mm  51.18 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,,,,Disc,Drum,,,,170/70 R13,13,,,,,120 km/h  74.56 mph,1969 year,73.5 mm  2.89 in.,78 mm  3.07 in.,4,,7.5,,1320 kg  2910.1 lbs.,360 kg  793.66 lbs.,525 l  18.54 cu. ft.,10.2 m  33.46 ft.,,,,,,,,,,,,,,,,,
Wartburg,353,353,1.0 (353 W 000) (50 Hp),1975 year,Internal Combustion engine,Sedan,5,4,Performance specs,10 l/100 km  23.52 US mpg28.25 UK mpg10 km/l,7 l/100 km  33.6 US mpg40.35 UK mpg14.29 km/l,,,Mixture of two stroke engine,,,Engine specs,50 Hp,50.1 Hp/l,,"Front, Longitudinal",999 cm3 60.96 cu. in.,3,Inline,,Carburettor,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,,McPherson,"Independent, spring",Disc,Drum,,Steering rack and pinion,,165/70 R13,13,,,,,160 km/h  99.42 mph,1988 year,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Westfield,Westfield,Westfield,4.0 i V8 (200 Hp),1995 year,Internal Combustion engine,Cabriolet,2,2,Performance specs,13 l/100 km  18.09 US mpg21.73 UK mpg7.69 km/l,8 l/100 km  29.4 US mpg35.31 UK mpg12.5 km/l,,,Petrol (Gasoline),"3 kg/Hp, 333.3 Hp/tonne","1.9 kg/Nm, 531.7 Nm/tonne",Engine specs,200 Hp @ 4750 rpm.,50.6 Hp/l,319 Nm @ 2600 rpm.  235.28 lb.-ft. @ 2600 rpm.,,3951 cm3 241.1 cu. in.,8,V-engine,,Multi-point indirect injection,Naturally aspirated engine,DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",600 kg  1322.77 lbs.,Dimensions,3520 mm  138.58 in.,1550 mm  61.02 in.,,2360 mm  92.91 in.,1310 mm  51.57 in.,1310 mm  51.57 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Coil spring,Helical spring,Disc,Disc,,Steering rack and pinion,,205/50 R15,15,4.5 sec,4.5 sec,4.3 sec,,222 km/h  137.94 mph,2001 year,94.04 mm  3.7 in.,71.1 mm  2.8 in.,5,,9.35,50 l  13.21 US gal | 11 UK gal,850 kg  1873.93 lbs.,250 kg  551.16 lbs.,,,,,,,,,,,,,,,,,,,
Westfield,Westfield,Westfield,1.8 i 16V (116 Hp),1998 year,Internal Combustion engine,Cabriolet,2,2,Performance specs,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,7 l/100 km  33.6 US mpg40.35 UK mpg14.29 km/l,,,Petrol (Gasoline),"5.2 kg/Hp, 193.3 Hp/tonne","3.7 kg/Nm, 270 Nm/tonne",Engine specs,116 Hp @ 6250 rpm.,64.6 Hp/l,162 Nm @ 4250 rpm.  119.49 lb.-ft. @ 4250 rpm.,,1796 cm3 109.6 cu. in.,4,Inline,4,Multi-point indirect injection,Naturally aspirated engine,DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",600 kg  1322.77 lbs.,Dimensions,3520 mm  138.58 in.,1550 mm  61.02 in.,,2360 mm  92.91 in.,1310 mm  51.57 in.,1310 mm  51.57 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Coil spring,Helical spring,Disc,Disc,,Steering rack and pinion,,185/60 R15,15,6.6 sec,6.6 sec,6.3 sec,,177 km/h  109.98 mph,2001 year,80.6 mm  3.17 in.,88 mm  3.46 in.,5,,10,50 l  13.21 US gal | 11 UK gal,850 kg  1873.93 lbs.,250 kg  551.16 lbs.,,,,,,,,,,,,,,,,,,,
WEY,P8,P8,2.0 T (340 Hp) Plug-in Hybrid AWD DCT,2017 year,PHEV (Plug-in Hybrid Electric Vehicle),SUV,5,5,Performance specs,,,2.3 l/100 km  102.27 US mpg122.82 UK mpg43.48 km/l,,petrol / electricity,,,,234 Hp @ 5500 rpm.,,360 Nm @ 2200-4000 rpm.  265.52 lb.-ft. @ 2200-4000 rpm.,,,,,,Direct injection,Turbocharger,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,Dimensions,4760 mm  187.4 in.,1931 mm  76.02 in.,1655 mm  65.16 in.,2950 mm  116.14 in.,,,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),6 DCT,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,235/55 R20,20,6.5 sec,6.5 sec,6.2 sec,,230 km/h  142.92 mph,,,,,,,45 l  11.89 US gal | 9.9 UK gal,,,,,Electric cars and hybrids specs,12.96 kWh,50 km  31.07 mi,Electric motor 1,20 Hp,50 Nm  36.88 lb.-ft.,Electric motor 2,340 Hp,524 Nm  386.48 lb.-ft.,Internal combustion engine specs,GW4C20A,180 mm  7.09 in.,20째,25째,,,
